Target Name,RA (J2000.0),Dec. (J2000.0),Proposal ID,Start Date,Sequence Number,Instrument,Filter,Int. Time,Obs. Type,Intent,Product ID,Data Type,Obs. ID,DOWNLOADABLE
oCeti,34.83221625,-2.975750008,JCMTCAL,56216.42977,57,SCUBA-2,SCUBA-2-450um,266,pointing,science,raw-450um,,scuba2_00057_20121016T101838,caom:JCMT/scuba2_00057_20121016T101838/raw-450um
oCeti,34.84014353,-2.970333388,JCMTCAL,56215.40294,33,SCUBA-2,SCUBA-2-450um,271,pointing,science,raw-450um,,scuba2_00033_20121015T094005,caom:JCMT/scuba2_00033_20121015T094005/raw-450um
oCeti,34.83138187,-2.961583457,JCMTCAL,56212.46431,46,SCUBA-2,SCUBA-2-450um,263,pointing,science,raw-450um,,scuba2_00046_20121012T110829,caom:JCMT/scuba2_00046_20121012T110829/raw-450um
oCeti,34.83402429,-2.951861312,JCMTCAL,56206.50799,39,SCUBA-2,SCUBA-2-450um,319,pointing,science,raw-450um,,scuba2_00039_20121006T120923,caom:JCMT/scuba2_00039_20121006T120923/raw-450um
oCeti,34.84348129,-2.964638967,JCMTCAL,56205.59572,49,SCUBA-2,SCUBA-2-450um,480,pointing,science,raw-450um,,scuba2_00049_20121005T141724,caom:JCMT/scuba2_00049_20121005T141724/raw-450um
oCeti,34.84056077,-2.973111138,JCMTCAL,56196.39492,45,SCUBA-2,SCUBA-2-450um,263,pointing,science,raw-450um,,scuba2_00045_20120926T092648,caom:JCMT/scuba2_00045_20120926T092648/raw-450um
oCeti,34.83444151,-2.951305768,JCMTCAL,56196.54405,63,SCUBA-2,SCUBA-2-450um,371,pointing,science,raw-450um,,scuba2_00063_20120926T130316,caom:JCMT/scuba2_00063_20120926T130316/raw-450um
oCeti,34.84362037,-2.964777855,JCMTCAL,56195.59314,99,SCUBA-2,SCUBA-2-450um,263,pointing,science,raw-450um,,scuba2_00099_20120925T141327,caom:JCMT/scuba2_00099_20120925T141327/raw-450um
oCeti,34.83430243,-2.951722424,JCMTCAL,56193.54653,51,SCUBA-2,SCUBA-2-450um,265,pointing,science,raw-450um,,scuba2_00051_20120923T130607,caom:JCMT/scuba2_00051_20120923T130607/raw-450um
oCeti,34.84028262,-2.972138922,JCMTCAL,56188.45088,37,SCUBA-2,SCUBA-2-450um,265,pointing,science,raw-450um,,scuba2_00037_20120918T104909,caom:JCMT/scuba2_00037_20120918T104909/raw-450um
oCeti,34.84348129,-2.964638968,JCMTCAL,56188.63905,60,SCUBA-2,SCUBA-2-450um,267,pointing,science,raw-450um,,scuba2_00060_20120918T152008,caom:JCMT/scuba2_00060_20120918T152008/raw-450um
